KHT001|T001|2025-12-01|2025-12-03|10|10|80000000|30000000|25000000|10000000|65000000|HDV01
KHT002|T002|2025-12-05|2025-12-09|2|2|400000000|150000000|100000000|100000000|350000000|HDV02
KHT003|T003|2025-12-07|2025-12-07|10|10|25000000|10000000|0|8000000|18000000|HDV03
KHT004|T004|2025-12-10|2025-12-13|10|0|150000000|60000000|40000000|30000000|130000000|HDV04
KHT005|T005|2025-12-12|2025-12-15|5|5|100000000|40000000|30000000|15000000|85000000|HDV05
KHT006|T006|2025-12-13|2025-12-14|8|8|50000000|20000000|10000000|10000000|40000000|HDV01
KHT007|T007|2025-12-15|2025-12-17|3|3|130000000|50000000|40000000|20000000|110000000|HDV04
KHT008|T008|2025-12-16|2025-12-16|15|15|15000000|7000000|0|4000000|11000000|HDV03
KHT009|T009|2025-12-20|2025-12-24|1|0|300000000|100000000|80000000|70000000|250000000|HDV02
KHT010|T010|2025-12-22|2025-12-23|6|6|45000000|20000000|10000000|5000000|35000000|HDV05
KHT011|T001|2025-12-25|2025-12-27|10|0|85000000|35000000|25000000|10000000|70000000|HDV01
KHT012|T004|2025-12-27|2025-12-30|10|10|140000000|50000000|40000000|30000000|120000000|HDV04
